circuit,n,grip_scale,unscaled_lap_err_s,unscaled_rmse_kph,actual_lap_s,actual_vmax_kph,sim_lap_s,lap_err_s,lap_err_pct,sim_vmax_kph,rmse_kph,mae_kph,bias_kph,max_err_kph,vmax_err_kph,s1_bias_kph,s2_bias_kph,s3_bias_kph,replay_deployed_mj,replay_harvested_mj,replay_clipping_pct,inferred_deployed_mj,inferred_harvested_mj,inferred_soc_end_mj,unexplained_mj,unexplained_over_ceiling_mj,masked_steps,p_ice_floor_kw,full_lap_s,full_lap_err_s,full_rmse_kph,full_mae_kph,full_bias_kph,full_max_err_kph,full_vmax_err_kph,full_s1_bias_kph,full_s2_bias_kph,full_s3_bias_kph,air_density
barcelona,923,1.0890625,2.551128570099806,17.207552215728295,74.679,341.0,74.69848961978278,0.019489619782774525,0.02609785854493837,334.72286730587524,14.588318205245644,11.013583513055828,-1.4368402309629993,50.60991139259168,-6.277132694124731,-3.2153835726998894,0.8484413809551894,-1.9452291144022194,3.345972935747185,3.3459729357471906,0.0,3.165123007959688,2.536949998947138,3.3718269909874508,0.22260697162070495,0.22260697162070495,12,462.744140625,72.4527649451378,-2.226235054862201,21.35366637578476,17.728590984457828,3.5662383174557006,50.60991139259168,-14.962817622206245,-10.694646822435304,11.87008665429862,9.542679149178213,1.1484237762806717
budapest,866,0.998828125,-0.057888010011495794,8.071286289781296,77.219,333.0,77.20083127767549,-0.018168722324503506,-0.023528823637321783,330.03080294930237,8.08709426272116,6.094658092505302,-0.7909046708605346,40.41542718630644,-2.9691970506976477,-2.3829826396003946,1.2083670175987893,-1.1995122576623578,4.687424478168477,4.093853475236654,0.0,4.622068797642048,4.062709603201757,3.4406408055597133,0.07444809982947687,0.07444809982947687,12,388.76953125,75.46091260758679,-1.758087392413202,17.83989503973964,14.784614013294833,3.723559787821128,40.41542718630644,-7.409012876135484,-3.844351987066857,11.510671520055194,3.5035987195120417,1.1394605749500601
melbourne,1048,1.1734375,4.371444194804766,21.568306341932583,78.518,327.0,78.53026142112569,0.012261421125685956,0.0156160639925698,326.1995111545771,15.759990400969926,10.788686649610607,0.851746737914533,67.68186306239949,-0.8004888454228649,7.496754591324485,-6.300479169165009,1.3399246544683385,4.342285603033892,3.4637833744628037,0.0,4.257549255970223,2.550363594446395,2.2928143384761728,0.042241275314272866,0.042241275314272866,12,365.33203125,76.94192058925324,-1.5760794107467575,24.559232472629123,21.76848842860636,4.833775927864139,67.68186306239949,10.69246755927411,22.998291018436202,-16.737948471361413,8.188937915341208,1.195443203673984
miami-gardens,1070,1.03515625,0.9343536903862883,13.59195944650363,87.798,343.0,87.79848492054015,0.0004849205401455947,0.0005523138797530635,339.0726453114607,13.006582620140566,9.660943621167439,-0.4365206570947672,36.511215312986856,-3.9273546885393102,-0.8298022580738245,0.46662538858270425,-0.9478173052895252,5.095524372609098,4.501312908234604,0.0,4.925289481169706,2.883052508797031,1.957763027627325,0.8133493660758534,0.8133493660758534,12,528.662109375,85.84270011733308,-1.955299882666921,23.794753121821152,19.470336589174597,2.184397631436941,55.73541193748011,-1.7012317795771252,7.234175012226865,-12.659566208035615,12.006095849834974,1.1390846797286098
monte-carlo,655,1.188671875,5.102234681887495,24.8303016685516,72.094,285.84517352099397,72.09608811547939,0.0020881154793954693,0.0028963790043491405,289.8607113858722,19.726714810155265,11.80940343133313,-2.5620873325861293,96.34251636084696,4.01553786487824,1.4677051692125893,2.32692652414502,-11.499378977821497,2.984467796237839,2.9844677962378405,0.0,3.087916846105932,2.44125192021812,3.353335074112189,0.0,0.0,12,233.49609375,67.27653074689519,-4.817469253104804,29.24186799854117,24.82961163272713,12.438281434542041,96.34251636084696,39.51916401712574,13.925355603607635,22.604401107449355,0.7782661514266305,1.1869932520051865
montreal,863,1.02578125,0.5320697898260534,9.033368671101233,72.646,331.0,72.66156934291301,0.015569342913011042,0.021431796538021422,329.256180951081,8.801995580505698,6.004468968025928,0.7292274453437655,40.01601762527274,-1.7438190489190049,0.2199452086734602,-1.3466803938930696,3.323425152177412,4.8376375648915175,3.9991250156843092,0.0,4.864386427972545,2.6093444582981897,1.744958030325642,0.11428209565618833,0.11428209565618833,12,409.27734375,70.66320910942981,-1.982790890570186,18.390306712731064,15.319732315229821,7.61176304759641,43.98732001321111,7.927296830138346,8.862063511810712,-2.9139171197216855,16.919461146878263,1.2141653349544819
shanghai,1090,1.2671874999999997,6.674741099264551,23.692937146962727,92.064,332.0,92.07253471328619,0.008534713286195483,0.009270413284449388,331.24613167798503,22.824352203365184,15.873402774765825,2.4812907072696553,90.28876547138898,-0.7538683220149495,-0.4590428231303803,5.646955911833645,2.2640591254759492,5.467741845496269,4.744849799227652,0.0,5.3214551286801415,3.833284476120445,2.511829347440305,0.3639070063950398,0.3639070063950398,13,900.0,90.5571071332761,-1.506892866723888,26.080860525753764,20.618661677735805,5.208738720687016,124.21827299516765,3.781349468634312,11.729207268622543,7.807383842032005,-3.928337671866049,1.2227200988830673
silverstone,1166,1.009375,0.24902477196023654,12.012135960337526,88.385,317.0,88.38245049122918,-0.002549508770826492,-0.002884549155203362,317.64029212006307,11.755793315768681,8.55172053108709,-0.4021936670856323,49.01401272124906,0.6402921200630488,-0.10334009728003751,-3.3690834731549795,2.272718951230347,3.894842763856813,3.8948427638568113,0.0,3.9237660790369793,2.3340245737238066,2.410258494686827,0.0005099194903477715,0.0005099194903477715,12,327.978515625,86.30878008867083,-2.0762199113291757,18.48782393729662,15.48770495857486,6.2310601439418845,51.82966259293276,20.748658105785378,8.03619096153762,6.294360638209853,4.35781328745997,1.1697109337713318
spa-francorchamps,1390,1.062109375,2.1453713039672238,20.47774921369705,104.893,333.0,104.89954683517166,0.006546835171661769,0.006241441441909154,328.53862656238863,19.516121515327853,14.184640604258265,-0.0650983511847054,81.88111689944841,-4.461373437611366,-5.959828155082019,2.6505497119818755,3.1267149873946183,4.637793967560417,4.441759916475657,0.0,4.249214125223324,2.118521396482003,1.8693072712586838,0.2968777216539672,0.2968777216539672,12,769.62890625,103.12012315766587,-1.772876842334128,23.57417944604033,19.131517589358413,3.0935900453249077,81.88111689944841,3.3575452667051993,4.27636132729455,7.223643497795215,-2.221789270717568,1.1411230092197684
spielberg,859,1.0375,0.7283527680456672,19.42586720460212,66.414,329.8733487514585,66.40689848012059,-0.0071015198794128764,-0.010692805552162008,328.2275702847247,18.99997140956684,11.849213613945846,-0.14712682156850151,66.42313656718412,-1.6457784667337934,5.0580213561421585,6.397127178561271,-11.914728818212117,5.315201616426638,3.857036458622997,0.0,5.15298304531095,3.1158130062644527,1.9628299609534998,0.05389867447186061,0.05389867447186061,12,370.458984375,65.57504936412144,-0.838950635878561,25.555541829569066,20.505112793978885,1.5078734630153012,81.40561875014679,10.1676370027377,-8.966131747271398,20.64501025618307,-7.118635724025607,1.0660080275582502
