held_out,model,mae_fraction,model_lap_s,dp_lap_s,uniform_lap_s,model_gain_s,dp_gain_s,gain_retained_pct,periodic,soc_end_mj,clip_pct,notes
austin,gbm,0.14392265193370166,95.71830047679417,95.2354367541735,97.53922856370228,1.8209280869081113,2.303791809528775,79.04047923846773,True,2.260870206005929,0.0,
austin,gbm_reg,0.19467419794204893,95.9528912023205,95.2354367541735,97.53922856370228,1.58633736138178,2.303791809528775,68.85766998651907,False,1.4580599370575196,0.0,"not periodic: ended 0.542 MJ short, so this lap is not repeatable and its time flatters the policy"
austin,linear,0.3310871987258811,98.35942060648763,95.2354367541735,97.53922856370228,-0.8201920427853508,2.303791809528775,-35.601829965404534,False,0.9089699448966647,2.7624309392265194,"not periodic: ended 1.091 MJ short, so this lap is not repeatable and its time flatters the policy"
austin,always-deploy,0.9197974217311234,99.09982705554977,95.2354367541735,97.53922856370228,-1.560598491847486,2.303791809528775,-67.74043059761966,False,3.15364798912097e-05,93.8305709023941,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
baku,gbm,0.14081375838926175,104.12682542303106,104.91125921516084,107.32261394514116,3.1957885221100923,2.4113547299803173,132.53083349276355,False,0.013717948745450757,0.0,"not periodic: ended 1.986 MJ short, so this lap is not repeatable and its time flatters the policy"
baku,gbm_reg,0.20414261963784724,105.21045168959252,104.91125921516084,107.32261394514116,2.1121622555486397,2.4113547299803173,87.59234920056247,False,0.4338547384311448,1.2583892617449663,"not periodic: ended 1.566 MJ short, so this lap is not repeatable and its time flatters the policy"
baku,linear,0.3086643468411036,110.93109679825108,104.91125921516084,107.32261394514116,-3.608482853109919,2.4113547299803173,-149.6454589714958,False,0.6605322442773878,27.684563758389263,"not periodic: ended 1.339 MJ short, so this lap is not repeatable and its time flatters the policy"
baku,always-deploy,0.8954697986577181,110.75048401730102,104.91125921516084,107.32261394514116,-3.4278700721598625,2.4113547299803173,-142.15536310527992,False,0.00018386608449037908,94.46308724832215,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
barcelona,gbm,0.1067172264355363,75.08824458533118,74.7550806467278,76.7565022794205,1.66825769408932,2.001421632692697,83.35363557776974,True,2.7324633188865803,0.0,
barcelona,gbm_reg,0.18328554134661867,75.38976248934841,74.7550806467278,76.7565022794205,1.3667397900720886,2.001421632692697,68.28844895781843,False,1.6853271699627728,0.0,"not periodic: ended 0.315 MJ short, so this lap is not repeatable and its time flatters the policy"
barcelona,linear,0.3503800514303408,77.340467802614,74.7550806467278,76.7565022794205,-0.5839655231934984,2.001421632692697,-29.177536289933858,False,1.687603021814332,0.0,"not periodic: ended 0.312 MJ short, so this lap is not repeatable and its time flatters the policy"
barcelona,always-deploy,0.9345070422535211,78.01365562685507,74.7550806467278,76.7565022794205,-1.257153347434567,2.001421632692697,-62.813018851165445,False,0.0012226630885941413,90.89924160346695,"not periodic: ended 1.999 MJ short, so this lap is not repeatable and its time flatters the policy"
budapest,gbm,0.17453810623556582,76.88868476862928,75.43268753866862,77.33778683808389,0.44910206945461084,1.9050992994152693,23.573682988201895,True,4.0,0.0,
budapest,gbm_reg,0.22761674636516221,77.10086520671264,75.43268753866862,77.33778683808389,0.23692163137124567,1.9050992994152693,12.436182798658518,True,3.322575466050693,0.0,
budapest,linear,0.337938890876179,78.27382174065987,75.43268753866862,77.33778683808389,-0.9360349025759831,1.9050992994152693,-49.13312932629179,True,2.6169474224106426,0.0,
budapest,always-deploy,0.9412817551963049,78.66883546841386,75.43268753866862,77.33778683808389,-1.331048630329974,1.9050992994152693,-69.86767727742652,False,3.919642509768764e-06,91.91685912240185,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
las-vegas,gbm,0.19183590576766857,93.08879598034036,92.34496489390249,95.06139680475071,1.9726008244103497,2.716431910848229,72.61734838751723,False,1.2353397704934106,3.5743298131600327,"not periodic: ended 0.765 MJ short, so this lap is not repeatable and its time flatters the policy"
las-vegas,gbm_reg,0.22542036586995973,93.3174255913279,92.34496489390249,95.06139680475071,1.7439712134228103,2.716431910848229,64.20080718600602,False,1.0056065307024933,9.910641754670998,"not periodic: ended 0.994 MJ short, so this lap is not repeatable and its time flatters the policy"
las-vegas,linear,0.3551481970506079,101.71209383042489,92.34496489390249,95.06139680475071,-6.650697025674177,2.716431910848229,-244.83209018102866,False,1.0940775963489011,27.132412672623886,"not periodic: ended 0.906 MJ short, so this lap is not repeatable and its time flatters the policy"
las-vegas,always-deploy,0.9385052802599513,96.29421876926727,92.34496489390249,95.06139680475071,-1.2328219645165603,2.716431910848229,-45.38387137896643,False,7.0562753338691675e-06,93.66368805848904,"not periodic: ended 2.000 MJ short, so this lap is not repeatable and its time flatters the policy"
lusail,gbm,0.08933209647495362,88.20696900276782,87.31806172957174,89.83955461809437,1.6325856153265477,2.52149288852263,64.74678642790451,True,2.9900883367662563,0.0,
lusail,gbm_reg,0.165942425413526,88.5239879271549,87.31806172957174,89.83955461809437,1.3155666909394625,2.52149288852263,52.17411863137426,True,2.5140347290827694,0.0,
lusail,linear,0.31773481934424896,90.86618774476976,87.31806172957174,89.83955461809437,-1.0266331266753923,2.52149288852263,-40.71528939654903,False,1.4841805128958043,7.050092764378478,"not periodic: ended 0.516 MJ short, so this lap is not repeatable and its time flatters the policy"
