circuit,gain_s,lap_km,gain_per_km,pct_above_taper,mean_speed_kph,deploy_speed_kph,harvest_speed_kph,pct_lap_deploying,pct_lap_harvesting,pct_energy_above_taper,harvest_onset_kph,deploy_onset_kph,harvested_mj
spa-francorchamps,2.733278011343941,6.95197,0.3931659675378261,41.43884892086331,259.6116690647482,257.81312824199017,230.33517486445447,24.316546762589926,17.985611510791365,31.58678662462298,269.315,177.02,6.951013798146156
las-vegas,2.716431910848243,6.15292,0.4414866292505417,54.752233956133225,265.0077173030057,252.74432282708753,226.0186213580593,24.12672623883022,18.115353371242893,27.07475768591709,267.76,149.84,6.763632847567076
silverstone,2.6962688187513635,5.8303,0.4624579899407172,43.4819897084048,263.3394854202402,261.0870528117383,239.68620459586504,27.186963979416813,21.612349914236706,27.231016822533793,263.96,210.89,6.97614173824471
suzuka,2.6584511336641583,5.7749,0.46034582999950796,30.909090909090907,245.38192207792207,242.03832625373025,222.36179132157054,24.848484848484848,20.692640692640694,18.6976120660237,233.95,170.575,6.985259109044178
shanghai,2.6166482652242,5.44945,0.4801674050086156,27.706422018348626,235.57634862385325,248.16931521167794,207.60060341843175,30.091743119266056,21.100917431192663,31.620163175165526,231.56,120.38,6.978954880584194
miami-gardens,2.595674832974396,5.35008,0.48516561116364537,48.87850467289719,256.80801869158876,266.66536112522283,222.64275893631643,35.046728971962615,21.682242990654206,38.05659684819388,192.85,131.47500000000002,6.98529780265362
yas-marina,2.562114827909042,5.23433,0.4894828617815541,31.42311365807068,240.90690544412607,242.88048826223866,212.64286358298264,27.22063037249284,22.349570200573066,20.945161001051147,221.05,157.85,6.95765640551187
lusail,2.529568317035981,5.39128,0.46919624227196155,22.07792207792208,238.30456400742116,241.29073132395055,221.822989201249,28.57142857142857,22.448979591836736,18.477395700499528,225.24,171.495,6.994427405871831
baku,2.423656532866218,5.9606,0.40661284650307317,30.788590604026844,236.47295302013424,234.46548357623863,191.47362820104442,25.922818791946305,17.869127516778523,23.802474242514958,254.9,117.475,6.980437298527786
marina-bay,2.4119600117375484,4.863569999999999,0.4959237785695587,21.58273381294964,221.70870503597124,222.0634427797766,196.94361596892387,26.20760534429599,22.09660842754368,5.162535981734827,231.12,133.21,6.979950728974887
montreal,2.369809429435449,4.31319,0.5494331178166159,29.89571263035921,242.30942062572421,238.59176077298434,221.30675379707435,29.31633835457706,23.986095017381228,13.800463671410649,248.99,126.535,6.251633235975452
monza,2.3523537631785985,5.76204,0.40825016195281505,57.204861111111114,272.5246006944444,253.22861361767912,240.1949642190082,20.74652777777778,17.881944444444446,22.124524585525634,281.865,176.45,5.756088771491504
spielberg,2.341781030585082,4.2930600000000005,0.5454806200204707,38.41676367869616,252.55586728754363,240.8481815130674,233.16847905655106,28.055878928987195,25.378346915017463,13.6128435001099,266.505,162.0,6.232104384041787
austin,2.3329854841946656,5.42855,0.4297621803602556,22.74401473296501,230.1360220994475,234.0354731062429,201.24752418328808,25.96685082872928,21.086556169429098,22.193776203184807,247.33,154.58,6.98921295927103
melbourne,2.29310637931566,5.24215,0.43743623881721433,39.69465648854962,252.43897900763358,243.47348008303268,226.78185335340353,25.190839694656486,21.660305343511453,16.696925378154656,241.635,178.37,6.683286171048194
sao-paulo,2.1563201416698234,4.23341,0.5093577380102148,40.731995277449826,248.8924085005903,255.3725031399872,218.18405062239134,32.585596221959854,22.904368358913814,31.619047134173034,211.065,137.66,5.932549238896778
mexico-city,2.1128314996355897,4.24644,0.49755359775143176,38.6336866902238,242.23683156654886,254.8977018727891,213.029888960898,36.160188457008246,23.557126030624264,29.825764060478143,176.535,129.58,6.134547498287325
barcelona,2.001421632692697,4.61487,0.4336897101527664,24.702058504875406,241.81120260021672,244.28614200100424,224.5473710694047,31.63596966413868,24.26868905742145,20.67208032374208,244.215,150.755,6.541951003379544
zandvoort,1.9666638292527665,4.2182200000000005,0.4662307393290929,23.459715639810426,226.32786729857816,231.95879333938169,212.14424459653134,29.739336492890995,25.829383886255926,13.151056505275841,228.495,151.92,6.633129161477181
budapest,1.9321128867774175,4.3292399999999995,0.44629378061216696,18.013856812933028,227.523129330254,237.33486190684877,213.15609613794416,32.10161662817552,27.136258660508084,15.783995127445552,238.83,156.485,6.984391108182541
monte-carlo,1.5251258076169163,3.2736799999999997,0.4658750420373758,9.618320610687023,194.7810534351145,221.6396886857761,188.4421629024717,38.93129770992366,31.755725190839694,7.920595109054368,211.45,121.41999999999999,6.978371295247467
